QueryId,EntityId
002,758546
002,3164445
002,1672222
002,1441663
002,941969
002,1353664
002,220000
002,3576756
002,3168585
002,3004496
002,1534134
002,2194473
002,3494659
002,794776
002,4271013
002,3267096
002,2892640
002,687344
002,386760
002,366601
002,2708885
002,4386586
002,4334740
002,3612787
002,3062925
002,3004029
002,2924915
002,2220686
002,2021727
002,1953372
002,1547585
002,1293207
002,909851
002,888352
002,789564
002,430520
002,3192913
002,2544424
002,2496299
002,4381315
002,1616801
002,3572540
002,4148783
002,3904177
002,3841277
002,3505248
002,3493082
002,3066021
002,2920711
002,2860537
002,2578200
002,1999858
002,1784022
002,1665978
002,1611504
002,1481474
002,1331911
002,1013951
002,988078
002,430386
002,430307
002,213322
002,1139430
002,2616207
002,1216465
002,956021
002,2508807
002,4012653
002,3997661
002,3738128
002,3577642
002,3577641
002,2692538
002,1350105
002,1145225
002,1048338
002,1255621
002,481606
002,2508826
002,4406241
002,1745425
002,2508842
002,1850915
002,2496331
002,4559305
002,4312172
002,4236643
002,4227089
002,4197137
002,4098382
002,3871648
002,3776365
002,3742435
002,3735106
002,3718373
002,3691087
002,3559943
002,3424145
002,3343633
004,4548404
004,1951055
004,4452208
004,2470206
004,4548401
004,1951053
004,1276504
004,1715315
004,1981921
004,3073514
004,1976741
004,2837995
004,3168525
004,2558144
004,1470172
004,4197513
004,2324814
004,4165358
004,3996709
004,1468188
004,872339
004,4388727
004,4480825
004,3067010
004,4289461
004,3726665
004,569261
004,1895974
004,567158
004,2499993
004,1843884
004,1999107
004,1564996
004,3996671
004,2263314
004,565835
004,1534144
004,3139895
004,4165029
004,3904098
004,3866692
004,872342
004,563519
004,1503903
004,182035
004,386692
004,570070
004,3145691
004,570448
004,3884306
004,3138535
004,1148950
004,1139122
004,565475
004,2448818
004,3884707
004,2506679
004,3066124
004,1864496
004,3447519
004,567435
004,88319
004,3145685
004,2883562
004,3726666
004,2484315
004,3066143
004,2880473
004,809193
004,809120
004,569470
004,569148
004,568814
004,567902
004,567508
004,563668
004,3793800
004,3071897
004,1503681
004,3463630
004,884436
004,3125581
004,3066119
004,1431282
004,2756795
004,1280143
004,565562
004,2916291
004,3139368
004,1951057
004,386795
004,3248690
004,3576913
004,3490008
004,3138942
004,564320
004,3424124
004,1511248
004,2299136
006,3399600
006,1976741
006,3139368
006,3066119
006,1850415
006,3066124
006,3399436
006,1976763
006,329736
006,2750256
006,2602847
006,1412316
006,1078101
006,4455807
006,2881737
006,2526713
006,1976782
006,1976755
006,1976682
006,386795
006,99210
006,3138645
006,2057222
006,2057210
006,1976711
006,4338470
006,4007235
006,4007229
006,3519025
006,3066120
006,2512825
006,1503681
006,1253744
006,3248690
006,3146219
006,4438695
006,3121847
006,1791328
006,3066138
006,2792527
006,4277238
006,4165230
006,3727279
006,3322499
006,2881744
006,2526712
006,2523530
006,2057223
006,2057214
006,1976725
006,1976724
006,565695
006,3066143
006,4116692
006,4520341
006,4350293
006,3996733
006,3965647
006,3889509
006,3750715
006,3399568
006,3118135
006,2480991
006,2166551
006,2133723
006,2126079
006,2009711
006,1858359
006,1640515
006,1601784
006,1581754
006,1400363
006,1136398
006,1136264
006,1136245
006,1136231
006,1136192
006,647186
006,1976733
006,1976732
006,1976687
006,720083
006,567740
006,352183
006,4523594
006,3547700
006,3213795
006,3066141
006,3066137
006,3066123
006,3066099
006,1993147
006,1345157
006,1320014
006,940137
006,320264
006,3125581
006,4474551
006,183880
008,1309851
008,2447580
008,1309861
008,4404730
008,3281489
008,2718310
008,2553621
008,2478701
008,1720839
008,1372011
008,1309864
008,1309863
008,1309862
008,1309855
008,1309852
008,1042535
008,4381520
008,4119015
008,2434018
008,1720838
008,1309858
008,1309856
008,1309850
008,297212
008,4235340
008,4226862
008,4210637
008,4130373
008,4094450
008,3830178
008,3625295
008,3344742
008,3211351
008,3195095
008,3023726
008,2914614
008,2608707
008,2590165
008,2320482
008,2077371
008,1838869
008,1812298
008,1647361
008,1431569
008,1309860
008,1309859
008,1309857
008,1309854
008,1309853
008,1309849
008,659027
008,659026
008,657929
008,207533
008,4635843
008,4596269
008,4559226
008,4529084
008,4461649
008,4427039
008,4420364
008,4395515
008,4384607
008,4304293
008,4275110
008,4260588
008,4244449
008,4231837
008,4187052
008,4146782
008,4128209
008,4118127
008,4075731
008,4010057
008,4008400
008,3958521
008,3925991
008,3915554
008,3909945
008,3886936
008,3873769
008,3760428
008,3699559
008,3696367
008,3686430
008,3659689
008,3601085
008,3527525
008,3448209
008,3421187
008,3358671
008,3356127
008,3344840
008,3344549
008,3344488
008,3326283
008,3316533
008,3260797
008,3224069
011,2653926
011,1431035
011,1487739
011,3313471
011,1001096
011,2644719
011,763099
011,3945185
011,3874515
011,1488004
011,1488003
011,1487969
011,1487960
011,1021464
011,199845
011,3061392
011,2470206
011,2646251
011,4581896
011,1972074
011,1487822
011,1487811
011,1487700
011,249802
